City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Funadhoo,MV,2021-04-14 20:44:04,6.15,73.2667,83.39,68,39,2.91
233,Ahipara,NZ,2021-04-14 20:44:05,-35.1667,173.1667,64.89,62,55,9.82
234,Ponta Do Sol,PT,2021-04-14 20:44:05,32.6667,-17.1,66.2,68,40,9.22
235,Faanui,PF,2021-04-14 20:44:06,-16.4833,-151.75,81.81,72,100,12.44
236,Nishihara,JP,2021-04-14 20:44:07,26.1842,127.7558,68.0,73,75,8.05
237,Goya,AR,2021-04-14 20:44:07,-29.14,-59.2626,77.02,58,28,4.38
238,Phuket,TH,2021-04-14 20:44:08,8.0,98.25,86.0,94,20,1.14
239,Bintulu,MY,2021-04-14 20:44:08,3.1667,113.0333,75.2,100,20,4.61
240,Salalah,OM,2021-04-14 20:44:08,17.0151,54.0924,80.6,78,0,3.44
241,San Cristobal,VE,2021-04-14 20:42:15,7.7669,-72.225,86.0,62,40,10.36
242,Bangangte,CM,2021-04-14 20:44:09,5.1409,10.5198,64.24,83,100,1.72
243,Erenhot,CN,2021-04-14 20:44:09,43.6475,111.9767,50.09,24,100,25.93
244,Ouango,CF,2021-04-14 20:44:10,4.3133,22.5552,76.48,67,96,3.27
245,Severodvinsk,RU,2021-04-14 20:44:10,64.5635,39.8302,33.8,75,40,6.71
246,Tuatapere,NZ,2021-04-14 20:44:10,-46.1333,167.6833,51.01,97,65,1.01
247,Taywarah,AF,2021-04-14 20:44:11,33.35,64.4167,41.18,77,100,4.27
248,Namtsy,RU,2021-04-14 20:44:11,62.7161,129.6658,-5.8,84,0,2.24
249,Sulina,RO,2021-04-14 20:44:11,45.1559,29.6536,46.98,88,100,12.08
250,Kargasok,RU,2021-04-14 20:44:12,59.0556,80.8572,34.2,99,100,4.0
251,Ati,TD,2021-04-14 20:44:12,13.2154,18.3353,84.76,5,99,8.93
252,Saint-Augustin,CA,2021-04-14 20:44:12,51.226,-58.6502,42.21,51,0,5.93
253,Abasolo,MX,2021-04-14 20:39:48,20.45,-101.5167,87.8,14,40,5.75
254,Bolgatanga,GH,2021-04-14 20:44:13,10.7856,-0.8514,92.55,25,97,1.81
255,Muros,ES,2021-04-14 20:44:13,42.7762,-9.0603,63.0,60,57,8.01
256,Formosa,AR,2021-04-14 20:42:12,-26.1775,-58.1781,86.0,58,0,4.61
257,Ternate,ID,2021-04-14 20:44:14,0.8,127.4,80.58,77,96,6.13
258,Asfi,MA,2021-04-14 20:44:14,32.2994,-9.2372,63.45,91,5,7.0
259,Kirakira,SB,2021-04-14 20:44:15,-10.4544,161.9205,81.66,81,52,5.46
260,Mpika,ZM,2021-04-14 20:44:15,-11.8343,31.4529,58.12,96,47,5.68
261,Mana,GF,2021-04-14 20:44:16,5.6592,-53.7767,80.8,80,70,8.97
262,Nouadhibou,MR,2021-04-14 20:44:16,20.931,-17.0347,68.0,83,0,18.41
263,Iquique,CL,2021-04-14 20:44:16,-20.2208,-70.1431,69.8,60,0,12.66
264,Poum,NC,2021-04-14 20:44:17,-20.2333,164.0167,78.91,84,95,15.14
265,Saint George,US,2021-04-14 20:44:17,37.1041,-113.5841,72.0,14,1,17.27
266,Lieksa,FI,2021-04-14 20:44:17,63.3167,30.0167,27.12,92,7,3.38
267,Bardiyah,LY,2021-04-14 20:44:18,31.7561,25.0865,67.55,53,3,8.77
268,Isabela,PH,2021-04-14 20:44:18,6.7085,121.9711,79.23,86,74,6.55
269,Makakilo City,US,2021-04-14 20:44:19,21.3469,-158.0858,80.6,44,1,10.36
270,Arlit,NE,2021-04-14 20:44:19,18.7369,7.3853,89.47,6,1,7.99
271,Aksu,CN,2021-04-14 20:44:20,41.1231,80.2644,57.63,30,52,5.39
272,Hasaki,JP,2021-04-14 20:44:20,35.7333,140.8333,43.0,70,40,11.5
273,Byron Bay,AU,2021-04-14 20:43:56,-28.65,153.6167,55.99,94,0,5.32
274,Rio Grande,BR,2021-04-14 20:44:21,-32.035,-52.0986,68.94,70,0,14.56
275,Atambua,ID,2021-04-14 20:44:21,-9.1061,124.8925,69.35,76,15,3.36
276,Sept-Iles,CA,2021-04-14 20:39:27,50.2001,-66.3821,46.4,53,14,6.91
277,Paamiut,GL,2021-04-14 20:44:22,61.994,-49.6678,29.23,86,97,25.28
278,Kipini,KE,2021-04-14 20:44:22,-2.5257,40.5262,82.4,83,20,10.36
279,Kenai,US,2021-04-14 20:44:22,60.5544,-151.2583,42.01,75,90,14.97
280,Kurilsk,RU,2021-04-14 20:44:23,45.2333,147.8833,30.67,79,100,10.6
281,Rudbar,AF,2021-04-14 20:44:23,30.15,62.6,71.1,39,48,3.78
282,Glasgow,GB,2021-04-14 20:43:51,55.8652,-4.2576,43.0,70,38,6.91
283,Torbay,CA,2021-04-14 20:44:24,47.6666,-52.7314,36.0,100,90,13.8
284,Kapuskasing,CA,2021-04-14 20:44:24,49.4169,-82.4331,41.0,93,89,11.5
285,Namatanai,PG,2021-04-14 20:44:24,-3.6667,152.4333,79.16,82,95,3.74
286,Marawi,PH,2021-04-14 20:44:25,7.9986,124.2928,75.0,87,100,3.0
287,Bijie,CN,2021-04-14 20:44:25,27.3125,105.2942,52.97,90,96,4.14
288,Yatou,CN,2021-04-14 20:44:26,37.15,122.3833,45.18,78,100,11.92
289,Letterkenny,IE,2021-04-14 20:44:26,54.95,-7.7333,41.0,90,45,2.08
290,Tilichiki,RU,2021-04-14 20:44:27,60.4667,166.1,12.06,86,100,7.07
291,Guarapari,BR,2021-04-14 20:44:27,-20.6667,-40.4975,73.08,76,1,11.92
292,Biu,NG,2021-04-14 20:44:28,10.6129,12.1946,82.33,40,100,3.38
293,Geraldton,AU,2021-04-14 20:44:28,-28.7667,114.6,53.6,82,0,9.22
294,Flin Flon,CA,2021-04-14 20:44:28,54.7682,-101.865,39.2,28,20,6.91
