City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
379,Kaura Namoda,NG,12.5898,6.5779,81.0,36,96,9.1,overcast clouds
380,Heiloo,NL,52.6,4.7,39.0,91,89,4.63,overcast clouds
381,Salinopolis,BR,-0.6136,-47.3561,77.16,87,99,10.27,heavy intensity rain
382,Emerald,AU,-23.5333,148.1667,84.2,34,0,5.75,clear sky
383,Gambissara,SN,13.2382,-14.3108,74.03,74,91,7.05,overcast clouds
384,Campbell River,CA,50.0163,-125.2446,54.0,70,2,2.66,clear sky
385,Poum,NC,-20.2333,164.0167,79.75,71,11,9.53,few clouds
386,Novaya Malykla,RU,54.2,49.95,52.29,44,2,12.44,clear sky
387,Messina,IT,38.1933,15.5497,55.4,87,40,2.3,scattered clouds
388,San Quintin,MX,30.4833,-115.95,56.64,86,0,8.19,clear sky
389,Itoman,JP,26.1247,127.6694,71.6,49,20,24.16,few clouds
390,Alta Floresta,BR,-9.8756,-56.0861,69.24,99,100,2.95,light rain
391,Chisec,GT,15.8167,-90.2833,71.83,94,98,2.98,overcast clouds
392,Qadirpur Ran,PK,30.2924,71.6712,84.2,45,20,7.29,haze
393,Smithers,CA,54.7804,-127.1743,46.4,61,1,4.61,clear sky
394,Ouango,CF,4.3133,22.5552,78.01,71,98,1.97,overcast clouds
395,Ucluelet,CA,48.9329,-125.5528,52.0,72,1,3.29,clear sky
396,Burnie,AU,-41.0667,145.9167,64.99,65,64,8.01,broken clouds
397,Garden City,US,42.3256,-83.331,46.4,76,20,3.44,few clouds
398,Saint-Pierre,RE,-21.3393,55.4781,77.0,73,90,9.22,overcast clouds
399,Marsa Matruh,EG,31.3525,27.2453,75.2,31,0,13.8,clear sky
400,Ulaangom,MN,49.9811,92.0667,50.5,36,2,7.52,clear sky
